name,instance,start_time,duration,thread_id,flop_count
"thread_id",6,16824894,384,17745305785038528775,-1
"thread_id",3,16824976,265,2254117302239912330,-1
"thread_id",2,16824983,100,17599415138405991409,-1
"thread_id",4,16825074,178,3599094319838864356,-1
"thread_id",5,16825137,122,5970178637178261141,-1
"thread_id",1,16825291,87,7089993487510727522,-1
"thread_id",7,16825334,75,17146082721936335494,-1
"thread_id",0,16825714,61,4733493427633974532,-1
"Riccati init",6,16827658,21692,2254117302239912330,-1
"Riccati init",8,16827704,20548,3599094319838864356,-1
"Riccati init",14,16827763,20749,17146082721936335494,-1
"Riccati init",10,16827824,20089,5970178637178261141,-1
"Riccati init",12,16827868,21204,17745305785038528775,-1
"Riccati init",0,16827912,20742,4733493427633974532,-1
"Riccati init",2,16828044,20318,7089993487510727522,-1
"Riccati init",4,16828000,20981,17599415138405991409,-1
"copy",0,16828314,1704,4733493427633974532,3000
"copy",0,16828842,1160,7089993487510727522,3000
"copy",0,16828445,1248,3599094319838864356,3000
"copy",0,16828850,1222,17599415138405991409,3000
"copy",0,16828883,1009,2254117302239912330,3000
"copy",0,16828649,1256,5970178637178261141,3000
"copy",0,16828960,1126,17745305785038528775,3000
"copy",0,16828900,1240,17146082721936335494,3000
"gemm_diag",0,16829854,18371,3599094319838864356,206400
"gemm_diag",0,16830181,17705,5970178637178261141,206400
"gemm_diag",0,16830285,18051,7089993487510727522,206400
"gemm_diag",0,16830380,18945,2254117302239912330,206400
"gemm_diag",0,16830433,18195,4733493427633974532,206400
"gemm_diag",0,16830628,18327,17599415138405991409,206400
"gemm_diag",0,16830716,18329,17745305785038528775,206400
"gemm_diag",0,16830594,17892,17146082721936335494,206400
"Riccati QRS",10,16847997,14010,5970178637178261141,-1
"potrf",0,16848102,1808,5970178637178261141,29560
"Riccati QRS",8,16848355,14221,3599094319838864356,-1
"Riccati QRS",2,16848454,14355,7089993487510727522,-1
"potrf",0,16848525,2098,3599094319838864356,29560
"Riccati QRS",14,16848680,15133,17146082721936335494,-1
"potrf",0,16848833,1891,7089993487510727522,29560
"Riccati QRS",0,16848870,14432,4733493427633974532,-1
"Riccati QRS",4,16849094,14430,17599415138405991409,-1
"potrf",0,16849156,2031,17146082721936335494,29560
"potrf",0,16849200,2010,4733493427633974532,29560
"Riccati QRS",12,16849291,14384,17745305785038528775,-1
"potrf",0,16849604,1794,17599415138405991409,29560
"potrf",0,16849623,1808,17745305785038528775,29560
"Riccati QRS",6,16849571,14761,2254117302239912330,-1
"potrf",0,16849697,1764,2254117302239912330,29560
"trsm",0,16850011,1528,5970178637178261141,24120
"trsm",0,16850761,1525,3599094319838864356,24120
"trsm",0,16850875,1522,7089993487510727522,24120
"trsm",0,16851313,1506,4733493427633974532,24120
"trsm",0,16851429,1609,17146082721936335494,24120
"trsm",0,16851487,1523,17599415138405991409,24120
"trsm",0,16851591,1525,2254117302239912330,24120
"trsm",0,16851790,1495,17745305785038528775,24120
"gemm",0,16851741,6548,5970178637178261141,75000
"gemm",0,16852442,6379,3599094319838864356,75000
"gemm",0,16852535,6496,7089993487510727522,75000
"gemm",0,16852955,6507,4733493427633974532,75000
"gemm",0,16853152,6612,17599415138405991409,75000
"gemm",0,16853198,6877,17146082721936335494,75000
"gemm",0,16853253,7328,2254117302239912330,75000
"gemm",0,16853424,6552,17745305785038528775,75000
"potrf",0,16858437,3546,5970178637178261141,62600
"potrf",0,16858974,3577,3599094319838864356,62600
"potrf",0,16859190,3595,7089993487510727522,62600
"potrf",0,16859660,3617,4733493427633974532,62600
"potrf",0,16859946,3556,17599415138405991409,62600
"potrf",0,16860127,3523,17745305785038528775,62600
"potrf",0,16860267,3523,17146082721936335494,62600
"potrf",0,16860752,3555,2254117302239912330,62600
"Riccati update AB",9,16862088,45877,5970178637178261141,-1
"gemm",0,16862188,4673,5970178637178261141,75000
"Riccati update AB",7,16862671,44990,3599094319838864356,-1
"gemm",0,16862766,4235,3599094319838864356,75000
"Riccati update AB",1,16862912,45214,7089993487510727522,-1
"gemm",0,16863017,4207,7089993487510727522,75000
"Riccati update AB",127,16863408,45451,4733493427633974532,-1
"gemm",0,16863505,4230,4733493427633974532,75000
"Riccati update AB",3,16863607,45523,17599415138405991409,-1
"gemm",0,16863722,4421,17599415138405991409,75000
"Riccati update AB",11,16863785,45348,17745305785038528775,-1
"Riccati update AB",13,16863905,45501,17146082721936335494,-1
"gemm",0,16864043,4253,17745305785038528775,75000
"gemm",0,16864085,4192,17146082721936335494,75000
"Riccati update AB",5,16864439,45179,2254117302239912330,-1
"gemm",0,16864554,4081,2254117302239912330,75000
"gemm",0,16866947,7132,5970178637178261141,125000
"gemm",0,16867151,6715,3599094319838864356,125000
"gemm",0,16867327,6833,7089993487510727522,125000
"gemm",0,16867863,6760,4733493427633974532,125000
"gemm",0,16868294,7071,17599415138405991409,125000
"gemm",0,16868390,7210,17146082721936335494,125000
"gemm",0,16868486,6751,17745305785038528775,125000
"gemm",0,16868732,6923,2254117302239912330,125000
"trmm",0,16873997,6113,3599094319838864356,104000
"trmm",0,16874252,6241,5970178637178261141,104000
"trmm",0,16874325,6112,7089993487510727522,104000
"trmm",0,16874752,6234,4733493427633974532,104000
"trmm",0,16875417,6136,17745305785038528775,104000
"trmm",0,16875473,6142,17599415138405991409,104000
"trmm",0,16875712,6307,17146082721936335494,104000
"trmm",0,16875765,6229,2254117302239912330,104000
"gemmt",0,16880266,12770,3599094319838864356,164000
"gemmt",0,16880691,12592,7089993487510727522,164000
"gemmt",0,16880750,12639,5970178637178261141,164000
"gemmt",0,16881150,12944,4733493427633974532,164000
"gemmt",0,16881730,12896,17745305785038528775,164000
"gemmt",0,16881800,12354,17599415138405991409,164000
"gemmt",0,16882425,12852,2254117302239912330,164000
"gemmt",0,16882397,12358,17146082721936335494,164000
"gemm_diag",0,16893143,14487,3599094319838864356,206400
"gemm_diag",0,16893488,14428,5970178637178261141,206400
"gemm_diag",0,16893588,14510,7089993487510727522,206400
"gemm_diag",0,16894407,14681,17599415138405991409,206400
"gemm_diag",0,16894348,14483,4733493427633974532,206400
"gemm_diag",0,16894727,14369,17745305785038528775,206400
"gemm_diag",0,16894884,14492,17146082721936335494,206400
"gemm_diag",0,16895460,14130,2254117302239912330,206400
"Riccati QRS",7,16907738,12373,3599094319838864356,-1
"potrf",0,16907833,1803,3599094319838864356,29560
"Riccati QRS",9,16908052,12661,5970178637178261141,-1
"potrf",0,16908157,1880,5970178637178261141,29560
"Riccati QRS",1,16908219,12387,7089993487510727522,-1
"potrf",0,16908331,1819,7089993487510727522,29560
"Riccati QRS",127,16908940,12220,4733493427633974532,-1
"potrf",0,16909026,1842,4733493427633974532,29560
"Riccati QRS",11,16909239,12297,17745305785038528775,-1
"Riccati QRS",3,16909284,12444,17599415138405991409,-1
"potrf",0,16909393,1785,17745305785038528775,29560
"potrf",0,16909573,1830,17599415138405991409,29560
"Riccati QRS",13,16909533,12766,17146082721936335494,-1
"Riccati QRS",5,16909686,12337,2254117302239912330,-1
"trsm",0,16909784,1533,3599094319838864356,24120
"potrf",0,16909847,1815,2254117302239912330,29560
"potrf",0,16909908,1781,17146082721936335494,29560
"trsm",0,16910126,1543,5970178637178261141,24120
"trsm",0,16910243,1554,7089993487510727522,24120
"trsm",0,16910985,1536,4733493427633974532,24120
"trsm",0,16911278,1529,17745305785038528775,24120
"gemm",0,16911431,4971,3599094319838864356,75000
"trsm",0,16911545,1590,17599415138405991409,24120
"trsm",0,16911785,1652,2254117302239912330,24120
"gemm",0,16911872,5084,5970178637178261141,75000
"gemm",0,16912080,4786,7089993487510727522,75000
"trsm",0,16912033,1539,17146082721936335494,24120
"gemm",0,16912622,4808,4733493427633974532,75000
"gemm",0,16912925,4871,17745305785038528775,75000
"gemm",0,16913247,4786,17599415138405991409,75000
"gemm",0,16913547,4816,2254117302239912330,75000
"gemm",0,16913682,4907,17146082721936335494,75000
"potrf",0,16916569,3518,3599094319838864356,62600
"potrf",0,16917054,3529,7089993487510727522,62600
"potrf",0,16917136,3553,5970178637178261141,62600
"potrf",0,16917585,3551,4733493427633974532,62600
"potrf",0,16917944,3567,17745305785038528775,62600
"potrf",0,16918206,3498,17599415138405991409,62600
"potrf",0,16918496,3503,2254117302239912330,62600
"potrf",0,16918768,3505,17146082721936335494,62600
"Riccati last",7,16920193,3827,3599094319838864356,-1
"trsm",0,16920285,3710,3599094319838864356,65200
"Riccati last",1,16920695,3963,7089993487510727522,-1
"Riccati last",9,16920790,3901,5970178637178261141,-1
"trsm",0,16920887,3746,7089993487510727522,65200
"trsm",0,16920945,3723,5970178637178261141,65200
"Riccati last",127,16921233,3844,4733493427633974532,-1
"trsm",0,16921333,3717,4733493427633974532,65200
"Riccati last",11,16921628,3843,17745305785038528775,-1
"trsm",0,16921734,3713,17745305785038528775,65200
"Riccati last",3,16921811,3811,17599415138405991409,-1
"trsm",0,16921908,3690,17599415138405991409,65200
"Riccati last",5,16922102,3839,2254117302239912330,-1
"trsm",0,16922205,3711,2254117302239912330,65200
"Riccati last",13,16922376,3850,17146082721936335494,-1
"trsm",0,16922467,3735,17146082721936335494,65200
"Invert Q",3,16924129,1710,3599094319838864356,-1
"trtri",0,16924216,1599,3599094319838864356,21000
"Invert Q",4,16924801,1826,5970178637178261141,-1
"Invert Q",0,16924948,1701,7089993487510727522,-1
"trtri",0,16924915,1689,5970178637178261141,21000
"trtri",0,16925067,1558,7089993487510727522,21000
"Invert Q",7,16925194,1669,4733493427633974532,-1
"trtri",0,16925289,1549,4733493427633974532,21000
"Invert Q",5,16925581,1819,17745305785038528775,-1
"trtri",0,16925781,1595,17745305785038528775,21000
"Invert Q",1,16925833,2132,17599415138405991409,-1
"Compute first Y",3,16925910,5850,3599094319838864356,-1
"Invert Q",2,16926038,1860,2254117302239912330,-1
"trmm",0,16926145,5542,3599094319838864356,65000
"trtri",0,16926246,1629,2254117302239912330,21000
"trtri",0,16926371,1563,17599415138405991409,21000
"Invert Q",6,16926428,1718,17146082721936335494,-1
"trtri",0,16926526,1587,17146082721936335494,21000
"Compute first U",5,16926710,5032,5970178637178261141,-1
"Compute first U",1,16926770,4944,7089993487510727522,-1
"trmm",0,16926853,4861,5970178637178261141,65000
"trmm",0,16926972,4697,7089993487510727522,65000
"Compute first Y",7,16927011,4778,4733493427633974532,-1
"trmm",0,16927105,4642,4733493427633974532,65000
"Compute first Y",5,16927495,5304,17745305785038528775,-1
"trmm",0,16927598,5147,17745305785038528775,65000
"Compute first U",3,16927974,5009,2254117302239912330,-1
"Compute first Y",1,16928049,5528,17599415138405991409,-1
"trmm",0,16928181,4777,2254117302239912330,65000
"Compute first U",7,16928282,4878,17146082721936335494,-1
"trmm",0,16928317,5235,17599415138405991409,65000
"trmm",0,16928524,4520,17146082721936335494,65000
"Compute L⁻ᵀL⁻¹",0,16931967,2329,7089993487510727522,-1
"Compute L⁻ᵀL⁻¹",3,16932024,2963,3599094319838864356,-1
"Compute L⁻ᵀL⁻¹",4,16932136,2984,5970178637178261141,-1
"Compute L⁻ᵀL⁻¹",7,16932188,2397,4733493427633974532,-1
"trmm",0,16932565,1707,7089993487510727522,23400
"trmm",0,16932339,2181,4733493427633974532,23400
"trmm",0,16932414,2548,3599094319838864356,23400
"trmm",0,16932512,2581,5970178637178261141,23400
"Compute L⁻ᵀL⁻¹",5,16932903,2547,17745305785038528775,-1
"trmm",0,16933034,2390,17745305785038528775,23400
"Compute L⁻ᵀL⁻¹",2,16933224,2740,2254117302239912330,-1
"Compute L⁻ᵀL⁻¹",6,16933395,2607,17146082721936335494,-1
"trmm",0,16933460,2480,2254117302239912330,23400
"trmm",0,16933610,2368,17146082721936335494,23400
"Compute L⁻ᵀL⁻¹",1,16933757,2279,17599415138405991409,-1
"trmm",0,16933866,2130,17599415138405991409,23400
"Compute (BA)(BA)ᵀ",0,16936636,11262,4733493427633974532,-1
"Compute (BA)(BA)ᵀ",2,16936690,11377,17599415138405991409,-1
"Factor D",1,16936831,11363,7089993487510727522,-1
"Compute (BA)(BA)ᵀ",4,16936780,11601,3599094319838864356,-1
"Compute (BA)(BA)ᵀ",6,16936871,11781,17745305785038528775,-1
"Factor D",5,16936972,10841,5970178637178261141,-1
"Factor D",3,16937025,11083,2254117302239912330,-1
"gemmt",0,16937121,10752,4733493427633974532,143000
"gemmt",0,16937266,10777,17599415138405991409,143000
"gemmt",0,16937456,10900,3599094319838864356,143000
"potrf",0,16937563,10215,5970178637178261141,166600
"gemmt",0,16937681,10939,17745305785038528775,143000
"potrf",0,16937945,10224,7089993487510727522,166600
"potrf",0,16937917,10167,2254117302239912330,166600
"Factor D",7,16938434,10279,17146082721936335494,-1
"potrf",0,16938528,10146,17146082721936335494,166600
"Trsm Y",3,16949083,5352,3599094319838864356,-1
"Trsm Y",1,16949142,5444,17599415138405991409,-1
"Trsm Y",7,16949188,4818,4733493427633974532,-1
"Trsm U",1,16949305,5321,7089993487510727522,-1
"trsm",0,16949342,4640,4733493427633974532,65200
"Trsm U",3,16949479,4493,2254117302239912330,-1
"trsm",0,16949600,4812,3599094319838864356,65200
"trsm",0,16949893,4669,17599415138405991409,65200
"Trsm Y",5,16949742,5244,17745305785038528775,-1
"trsm",0,16949810,4139,2254117302239912330,65200
"trsm",0,16949943,4659,7089993487510727522,65200
"Trsm U",5,16949996,5007,5970178637178261141,-1
"Trsm U",7,16950105,4294,17146082721936335494,-1
"trsm",0,16950262,4701,17745305785038528775,65200
"trsm",0,16950335,4644,5970178637178261141,65200
"trsm",0,16950474,3899,17146082721936335494,65200
"Subtract UUᵀ",6,16955842,7933,17146082721936335494,-1
"gemmt",0,16955896,7853,17146082721936335494,65000
"Subtract UUᵀ",0,16956442,8390,7089993487510727522,-1
"Compute Y",6,16956128,9510,4733493427633974532,-1
"Compute U",6,16956181,10117,17745305785038528775,-1
"Subtract UUᵀ",2,16956309,7793,2254117302239912330,-1
"Compute U",2,16956339,9221,17599415138405991409,-1
"Compute Y",2,16956395,9073,3599094319838864356,-1
"gemm",0,16956557,8974,17599415138405991409,125000
"gemm",0,16956622,8818,3599094319838864356,125000
"gemm",0,16956768,8841,4733493427633974532,125000
"gemmt",0,16956846,7962,7089993487510727522,65000
"gemmt",0,16957082,6996,2254117302239912330,65000
"gemm",0,16957241,9028,17745305785038528775,125000
"Subtract UUᵀ",4,16958053,7420,5970178637178261141,-1
"gemmt",0,16958153,7293,5970178637178261141,65000
"Factor D",6,16963857,6296,17146082721936335494,-1
"potrf",0,16963904,6224,17146082721936335494,88600
"Factor D",2,16964185,6322,2254117302239912330,-1
"potrf",0,16964242,6239,2254117302239912330,88600
"Subtract YYᵀ",0,16964920,5325,7089993487510727522,-1
"gemmt",0,16965049,5171,7089993487510727522,65000
"Subtract YYᵀ",4,16965556,5100,5970178637178261141,-1
"gemmt",0,16965639,4991,5970178637178261141,65000
"Trsm Y",6,16970955,5440,4733493427633974532,-1
"Trsm Y",2,16971061,5824,3599094319838864356,-1
"trsm",0,16971132,5239,4733493427633974532,65200
"Trsm U",6,16971277,5112,17745305785038528775,-1
"trsm",0,16971351,5511,3599094319838864356,65200
"Trsm U",2,16971388,5482,17599415138405991409,-1
"trsm",0,16971526,4839,17745305785038528775,65200
"trsm",0,16971603,5244,17599415138405991409,65200
"Subtract UUᵀ",0,16977645,7674,17599415138405991409,-1
"Compute Y",4,16977764,9092,4733493427633974532,-1
"gemmt",0,16977833,7462,17599415138405991409,65000
"Subtract UUᵀ",4,16977895,7964,17745305785038528775,-1
"gemm",0,16977970,8857,4733493427633974532,125000
"gemmt",0,16978111,7722,17745305785038528775,65000
"Compute U",4,16979350,8378,3599094319838864356,-1
"gemm",0,16979466,8231,3599094319838864356,125000
"Subtract YYᵀ",0,16985402,5296,17599415138405991409,-1
"gemmt",0,16985504,5170,17599415138405991409,65000
"Factor D",4,16985952,6312,17745305785038528775,-1
"potrf",0,16986041,6199,17745305785038528775,88600
"Trsm Y",4,16992539,5276,4733493427633974532,-1
"trsm",0,16992632,5161,4733493427633974532,65200
"Trsm U",4,16992800,5040,3599094319838864356,-1
"trsm",0,16992884,4931,3599094319838864356,65200
"Compute Y",0,16998432,8280,4733493427633974532,-1
"gemm",0,16998519,8168,4733493427633974532,125000
"Subtract UUᵀ",0,16999222,7062,3599094319838864356,-1
"gemmt",0,16999318,6942,3599094319838864356,65000
"Subtract YYᵀ",0,17006315,4988,3599094319838864356,-1
"gemmt",0,17006423,4855,3599094319838864356,65000
"Factor D",0,17011334,1711,3599094319838864356,-1
"potrf",0,17011428,1593,3599094319838864356,23600
